"EDR073335","Ga(ius) Sabinius Statio plurima(m) sal(utem) //<BR>viator Pompeis pane(m) gustas<BR>Nuceriae bibes<BR>Nuc[---]"
"EDR073337","Crescens insigniarius<BR>Campanus"
"EDR073338","[---]eus Aug(usti) cubiclarius Marsus hic et ubique sa[l(utem)]<BR>[sa]n[ct]issimae coloniae et populo Pompeieno(!)<BR>ubique sal(utem)"
"EDR073339","D(ecimi) Lucreti Satri<BR>Valentis flaminis [[Neronis]] Caesaris Aug(usti) f(laminis) perpetui glad(iatorum) par(ia) XX et<BR>D(ecimi) Lucreti Valentis fili [gladiatorum] par(ia) X<BR>ex a(nte) d(iem) V K(alendas) April(es) venatio et vela er[unt]"
"EDR073343","A porta Salis<BR>usque hoc"
"EDR073414","[Insanas?] lites odiosaque iurgia differ<BR>si potes aut gressus ad tua tecta refer<BR>lascivos voltus et blandos aufer ocellos<BR>coniuge ab alterius sit tibi in ore pudor<BR>abluat unda pedes puer et detergeat udos<BR>mappa torum velet lintea nostra cave"
"EDR073610","Fulgur [conditum ---?]"
"EDR073638","&#12296;:pars I&#12297;<br>S<br>&#12296;:vacat&#12297;<br>&#916;<br><br>&#12296;:pars II&#12297;<br>rotas<br>opera <br>tenet<br>arepo<br>sator<br><br>&#12296;:pars III&#12297;<br>A N O"
"EDR159691","Nec prius <br>absistit, qua[m] <br>septe(m) ingentia <br>victor corpora<br>funda(t) hum(i)"
"EDR073766","M(arcus) Lollius [M(arci) l(ibertus)]<br>Bithus"
"EDR073803","L(ucio) Aelio Magno<BR>feliciter Astylus<BR>Iarine fellas"
"EDR073805","Masculus vincet(!)<BR>vicit Iovia SH(!) CC<BR>N(onis) Apr(ilibus) XXI"
"EDR073806","Pro sal(ute)  gladiatorum paria XX<BR>pugnab(unt)"
"EDR073807","Idibus Iulis<BR>inaures pos(i)tas ad Faustilla(m)<BR>pro ((denariis)) II usura(e) deduxit aeris a(ssem)<BR>ex sum(ma) XXX"
"EDR073808","IV Non(as) Iul(ias)<BR>paenul(am) palliolu(m)<BR>[posita ad Fau]stilla(m)<BR>pr[o HS] L usur(is)<BR>[deduxit?] XIIII s(emisses?)<BR>[aeri]s a(sses) VIII"
