AGP-EDR145032,Herculaneum,432873,"((:gallus cum crista alisque))
","Ercolano (Napoli), Insula V.1, Casa Sannitica",1,79,,Graffito/incised
AGP-EDR140140,Herculaneum,432873,Q&#803;(uintus) Vet&#803;ius&#803; (:Vettius),"Ercolano (Napoli), Insula III.17, Casa dell'Ara Laterzia",1,79,Latin,Graffito/incised
AGP-EDR140046,Herculaneum,432873,"Col=
((denarius))
ono (:Colono)","Ercolano (Napoli), Insula III.11, Casa del Tramezzo di Legno",1,79,Latin,Graffito/incised
AGP-EDR140143,Herculaneum,432873,Amata&#803;,"Ercolano (Napoli), Insula III.16-17, Facade",0,0,Latin,Graffito/incised
AGP-EDR140210,Herculaneum,432873,IIIIIIIIIII,"Ercolano (Napoli), Insula IV.17, Taberna di Priapo",1,79,Latin,Graffito/incised
AGP-EDR140173,Herculaneum,432873,"SPI
Oceanus","Ercolano (Napoli), Insula IV.10, Taberna",1,79,Latin,charcoal
AGP-EDR140182,Herculaneum,432873,CLXX,"Ercolano (Napoli), Insula V.15, Casa del Bicentenario",1,79,Latin,Graffito/incised
AGP-EDR081346,Herculaneum,432873,"Mamium(:Mammium) Anicetum
rogamus guria(:curia) Augustiana","Ercolano (Napoli), Insula VI.21, So-called College of the Augustales (Curia)",70,79,Latin,Graffito/incised
AGP-EDR140223,Herculaneum,432873,P P P redire   si minus   innecteb(is?) et te [---],"Ercolano (Napoli), Insula IV.15-16, Grande Taberna",1,79,Latin,Graffito/incised
AGP-EDR140257,Herculaneum,432873,"XVII k(alendas), X k(alendas), VII id(us)","Ercolano (Napoli), Insula III.19, Casa dell'Albergo",1,79,Latin,Graffito/incised
AGP-EDR073355,Herculaneum,432873,"Apollinaris medicus Ti&#768;ti&#768; Impe(ratoris) &#12296;:servus&#12297;
hic cacavit bene","Ercolano (Napoli), Insula Orientalis I.1, casa della Gemma, latrina",70,79,Latin,Graffito/incised
AGP-EDR154370,Herculaneum,432873,VIII k(alendas) Iulias,"Ercolano (Napoli), Terme Suburbane",1,79,Latin,Graffito/incised
AGP-EDR081349,Herculaneum,432873,I&#768;n curia {Aus} Augustiana,"Ercolano (Napoli), Insula VI.21, So-called College of the Augustales (Curia)",70,79,Latin,Graffito/incised
AGP-EDR151876,Herculaneum,432873,PR XXX CV[+]XXX,"Ercolano (Napoli), Insula V.35, Casa del Gran Portale",1,79,Latin,Graffito/incised
AGP-EDR081345,Herculaneum,432873,C(aius) Messenius Eunomus im(:in) curia,"Ercolano (Napoli), Insula VI.21, So-called College of the Augustales (Curia)",70,79,Latin,Graffito/incised
AGP-EDR153111,Herculaneum,432873,"Fuibus (:Phoebus)
egrotes (:aegrotes)","Ercolano (Napoli), Insula Orientalis I.2, Casa del Rilievo di Telefo",1,79,Latin,Graffito/incised
